Ticker;Name;Sector;Industry;ESG Global Score;Market Cap;Size;Debt-to-Equity;PE_Ratio;Beta_Value;Year;ROE_Value;Tot_Return;Next_Year_Return;Momentum_1y;High_Impact_ESG;ESG_x_Sector;Tot_Return_w;Next_Year_Return_w;Size_w;PE_Ratio_w;Debt-to-Equity_w;ROE_Value_w;Momentum_1y_w
ANET.N;arista networks;Technology;Computer Hardware;60.32422579;44172014625;10.64514721;0.0;57.33670506;1.408369976;2021.0;23.04059617;97.88691193;-15.5826087;42.85644051;0.0;64.53115191;97.88691193;-15.5826087;10.64514721;57.33670506;0.0;23.04059617;42.85644051
ANET.N;arista networks;Technology;Computer Hardware;57.74939492;37081236952;10.56915421;;33.44265006;1.408369976;2022.0;30.5140325;-15.5826087;94.0749897;97.88691193;0.0;64.53115191;-15.5826087;94.0749897;10.56915421;33.44265006;55.429835;30.5140325;97.88691193
ANET.N;arista networks;Technology;Computer Hardware;48.92256921;73267194442;10.86490956;;41.74081032;1.408369976;2023.0;34.48726749;94.0749897;87.72875886;-15.5826087;0.0;64.53115191;94.0749897;87.72875886;10.86490956;41.74081032;55.429835;34.48726749;-15.5826087
JPM.N;jpmorgan chase & co;Financial Services;Banks - Diversified;77.84192763;2,43065E+11;11.38572243;193.07275;11.31840668;1.073250674;2015.0;10.45827379;8.366289208;34.56645971;;0.0;64.53115191;8.366289208;34.56645971;11.38572243;11.31840668;193.07275;10.45827379;13.64349087
JPM.N;jpmorgan chase & co;Financial Services;Banks - Diversified;81.52125165;3,08768E+11;11.48963288;194.87549;14.08609347;1.073250674;2016.0;10.15686336;34.56645971;26.73143656;8.366289208;0.0;64.53115191;34.56645971;26.73143656;11.48963288;14.08609347;194.87549;10.15686336;8.366289208
JPM.N;jpmorgan chase & co;Financial Services;Banks - Diversified;82.29189293;3,71052E+11;11.56943531;193.51253;16.23974196;1.073250674;2017.0;10.69018475;26.73143656;-6.645787487;34.56645971;0.0;64.53115191;26.73143656;-6.645787487;11.56943531;16.23974196;193.51253;10.69018475;34.56645971
JPM.N;jpmorgan chase & co;Financial Services;Banks - Diversified;80.0332233;3,24627E+11;11.5113841;208.02955;11.17935175;1.073250674;2018.0;13.34964962;-6.645787487;47.26676933;26.73143656;0.0;64.53115191;-6.645787487;47.26676933;11.5113841;11.17935175;208.02955;13.34964962;26.73143656
JPM.N;jpmorgan chase & co;Financial Services;Banks - Diversified;83.90844057;4,37226E+11;11.64070598;197.48709;14.04265178;1.073250674;2019.0;14.90670935;47.26676933;-5.518061418;-6.645787487;0.0;64.53115191;47.26676933;-5.518061418;11.6226884274;14.04265178;197.48709;14.90670935;-6.645787487
JPM.N;jpmorgan chase & co;Financial Services;Banks - Diversified;85.59636124;3,87335E+11;11.58808693;194.05557;11.8361549;1.073250674;2020.0;11.33515843;-5.518061418;27.72528075;47.26676933;0.0;64.53115191;-5.518061418;27.72528075;11.58808693;11.8361549;194.05557;11.33515843;47.26676933
JPM.N;jpmorgan chase & co;Financial Services;Banks - Diversified;83.18508712;4,67966E+11;11.67021465;186.63333;16.04834672;1.073250674;2021.0;18.28738841;27.72528075;-12.61136262;-5.518061418;0.0;64.53115191;27.72528075;-12.61136262;11.6226884274;16.04834672;186.63333;18.28738841;-5.518061418
CSX.OQ;csx;Industrials;Railroads;68.48739304;25299791003;10.40311693;90.28968;11.95377595;1.298705531;2015.0;17.25135941;-26.75178863;42.08022947;;1.0;68.48739304;-26.75178863;42.08022947;10.40311693;11.95377595;90.28968;17.25135941;14.98226152
CSX.OQ;csx;Industrials;Railroads;68.31203978;33654200971;10.52703928;96.57089;18.43101013;1.298705531;2016.0;14.68432558;42.08022947;55.42990032;-26.75178863;1.0;68.31203978;42.08022947;55.42990032;10.52703928;18.43101013;96.57089;14.68432558;-26.75178863
CSX.OQ;csx;Industrials;Railroads;54.15105324;49163656747;10.69164418;80.21874;27.29886606;1.298705531;2017.0;14.88781079;55.42990032;14.47288248;42.08022947;1.0;54.15105324;55.42990032;14.47288248;10.69164418;27.29886606;80.21874;14.88781079;42.08022947
CSX.OQ;csx;Industrials;Railroads;57.25374401;52463783830;10.71985961;117.30525;19.70108664;1.298705531;2018.0;24.26287223;14.47288248;18.03979525;55.42990032;1.0;57.25374401;14.47288248;18.03979525;10.71985961;19.70108664;117.30525;24.26287223;55.42990032
CSX.OQ;csx;Industrials;Railroads;55.32187271;56609816140;10.75289174;136.87937;16.96630362;1.298705531;2019.0;27.29097538;18.03979525;27.11224869;14.47288248;1.0;55.32187271;18.03979525;27.11224869;10.75289174;16.96630362;136.87937;27.29097538;14.47288248
CSX.OQ;csx;Industrials;Railroads;57.17715264;69403258609;10.84137986;127.42182;21.31690679;1.298705531;2020.0;22.16521704;27.11224869;25.70450027;18.03979525;1.0;57.17715264;27.11224869;25.70450027;10.84137986;21.31690679;127.42182;22.16521704;18.03979525
CSX.OQ;csx;Industrials;Railroads;64.23932295;83396176254;10.92114614;121.22963;26.06495442;1.298705531;2021.0;28.43819337;25.70450027;-16.5881944;27.11224869;1.0;64.23932295;25.70450027;-16.5881944;10.92114614;26.06495442;121.22963;28.43819337;27.11224869
CSX.OQ;csx;Industrials;Railroads;62.93271322;65132622424;10.81379856;142.94653;17.27878636;1.298705531;2022.0;31.91725723;-16.5881944;13.50547867;25.70450027;1.0;62.93271322;-16.5881944;13.50547867;10.81379856;17.27878636;142.94653;31.91725723;25.70450027
CSX.OQ;csx;Industrials;Railroads;67.41349141;68512462983;10.83576958;154.63496;18.34595378;1.298705531;2023.0;29.82720065;13.50547867;-5.657137548;-16.5881944;1.0;67.41349141;13.50547867;-5.657137548;10.83576958;18.34595378;154.63496;29.82720065;-16.5881944
AMD.OQ;advanced micro devices;Technology;Semiconductors;80.12715241;2274181841;9.356825187;;34.74576271;1.911970547;2015.0;;7.490636701;295.1219512;;0.0;64.53115191;7.490636701;239.1078588549999;9.356825187;34.74576271;55.429835;17.605631735000003;24.31911614
AMD.OQ;advanced micro devices;Technology;Semiconductors;71.72747585;10510691239;10.02163128;344.95192;;1.911970547;2016.0;-24850.0;295.1219512;-9.347442685;7.490636701;0.0;64.53115191;230.0811358019999;-9.347442685;10.02163128;23.34744954;344.95192;-82.1757796999;7.490636701
AMD.OQ;advanced micro devices;Technology;Semiconductors;70.62697419;9918129639;9.996429781;234.0604;123.3205374;1.911970547;2017.0;194.6640316;-9.347442685;79.57198444;295.1219512;0.0;64.53115191;-9.347442685;79.57198444;9.996429781;123.3205374;234.0604;194.6640316;209.8260585480008
AMD.OQ;advanced micro devices;Technology;Semiconductors;69.83964197;18449057207;10.26597418;98.73618;51.01984412;1.911970547;2018.0;37.59398496;79.57198444;148.4290358;-9.347442685;0.0;64.53115191;79.57198444;148.4290358;10.26597418;51.01984412;98.73618;37.59398496;-9.347442685
AMD.OQ;advanced micro devices;Technology;Semiconductors;67.77889058;51070958434;10.70817401;17.19137;72.15002675;1.911970547;2019.0;16.02736379;148.4290358;99.97819451;79.57198444;0.0;64.53115191;148.4290358;99.97819451;10.70817401;72.15002675;17.19137;16.02736379;79.57198444
AMD.OQ;advanced micro devices;Technology;Semiconductors;65.98033359;1,10301E+11;11.04257821;5.65359;78.37858626;1.911970547;2020.0;57.47922438;99.97819451;56.90764366;148.4290358;0.0;64.53115191;99.97819451;56.90764366;11.04257821;78.37858626;5.65359;57.47922438;148.4290358
AMD.OQ;advanced micro devices;Technology;Semiconductors;71.38615432;1,73775E+11;11.23998766;4.175;75.61466473;1.911970547;2021.0;47.42762862;56.90764366;-54.9895761;99.97819451;0.0;64.53115191;56.90764366;-51.3767846765;11.23998766;75.61466473;4.175;47.42762862;99.97819451
COP.N;conocophillips;Energy;Oil & Gas E&P;79.43993187;57645434560;10.76076492;62.07275;50.58614488;0.328209663;2015.0;-9.660423462;-29.01188791;10.16829773;;1.0;79.43993187;-29.01188791;10.16829773;10.76076492;50.58614488;62.07275;-9.660423462;0.7298398345
COP.N;conocophillips;Energy;Oil & Gas E&P;75.31956572;62124834287;10.79326524;77.4286;;0.328209663;2016.0;-9.674052665;10.16829773;11.94276208;-29.01188791;1.0;75.31956572;10.16829773;11.94276208;10.79326524;20.2871947;77.4286;-9.674052665;-29.01188791
COP.N;conocophillips;Energy;Oil & Gas E&P;67.89727766;65621863579;10.81704856;63.9687;117.8048676;0.328209663;2017.0;-5.205776063;11.94276208;15.62444936;10.16829773;1.0;67.89727766;11.94276208;15.62444936;10.81704856;117.8048676;63.9687;-5.205776063;10.16829773
COP.N;conocophillips;Energy;Oil & Gas E&P;71.55785172;71779931717;10.85600304;46.68164;24.05033019;0.328209663;2018.0;19.97569789;15.62444936;6.640740346;11.94276208;1.0;71.55785172;15.62444936;6.640740346;10.85600304;24.05033019;46.68164;19.97569789;11.94276208
COP.N;conocophillips;Energy;Oil & Gas E&P;68.94529439;70548966040;10.84849065;42.49643;19.89256851;0.328209663;2019.0;21.48535565;6.640740346;-36.00042019;15.62444936;1.0;68.94529439;6.640740346;-36.00042019;10.84849065;19.89256851;42.49643;21.48535565;15.62444936
COP.N;conocophillips;Energy;Oil & Gas E&P;67.67324874;42710704414;10.63053673;51.48916;11.32938217;0.328209663;2020.0;-8.351072035;-36.00042019;86.69668705;6.640740346;1.0;67.67324874;-36.00042019;86.69668705;10.63053673;11.32938217;51.48916;-8.351072035;6.640740346
COP.N;conocophillips;Energy;Oil & Gas E&P;64.18304113;95201584860;10.97864418;43.90169;42.73990123;0.328209663;2021.0;21.42050362;86.69668705;71.45439449;-36.00042019;1.0;64.18304113;86.69668705;71.45439449;10.97864418;42.73990123;43.90169;21.42050362;-36.00042019
TER.OQ;teradyne;Technology;Semiconductor Equipment & Materials;41.02056965;4248043397;9.628188945;;16.59108239;1.848636081;2015.0;10.20958938;5.72147173;24.29377967;;0.0;64.53115191;5.72147173;24.29377967;9.628188945;16.59108239;55.429835;10.20958938;24.31911614
TER.OQ;teradyne;Technology;Semiconductor Equipment & Materials;44.89492774;5111041645;9.70850942;19.28566;18.54217615;1.848636081;2016.0;-2.288661451;24.29377967;66.15544309;5.72147173;0.0;64.53115191;24.29377967;66.15544309;9.70850942;18.54217615;19.28566;-2.288661451;5.72147173
TER.OQ;teradyne;Technology;Semiconductor Equipment & Materials;47.52815512;8213124155;9.914508388;18.73354;26.64367348;1.848636081;2017.0;23.3715684;66.15544309;-24.37353532;24.29377967;0.0;64.53115191;66.15544309;-24.37353532;9.914508388;26.64367348;18.73354;23.3715684;24.29377967
TER.OQ;teradyne;Technology;Semiconductor Equipment & Materials;51.07079744;5624862176;9.750111886;24.96009;12.76834687;1.848636081;2018.0;23.14608746;-24.37353532;118.9362827;66.15544309;0.0;64.53115191;-24.37353532;118.9362827;9.750111886;12.76834687;24.96009;23.14608746;66.15544309
TER.OQ;teradyne;Technology;Semiconductor Equipment & Materials;52.90888518;11427121249;10.05793684;26.66519;30.22686774;1.848636081;2019.0;31.13846006;118.9362827;76.70959791;-24.37353532;0.0;64.53115191;118.9362827;76.70959791;10.05793684;30.22686774;26.66519;31.13846006;-24.37353532
TER.OQ;teradyne;Technology;Semiconductor Equipment & Materials;44.23126795;19908433099;10.29903708;18.5503;37.23002872;1.848636081;2020.0;42.49010353;76.70959791;36.81034553;118.9362827;0.0;64.53115191;76.70959791;36.81034553;10.29903708;37.23002872;18.5503;42.49010353;118.9362827
TER.OQ;teradyne;Technology;Semiconductor Equipment & Materials;60.82982253;26656099720;10.4257966;4.22886;32.20019927;1.848636081;2021.0;42.49800147;36.81034553;-46.34242184;76.70959791;0.0;64.53115191;36.81034553;-46.34242184;10.4257966;32.20019927;4.22886;42.49800147;76.70959791
ALGN.OQ;align technology;Healthcare;Medical Devices;16.04114987;5234426246;9.718869085;;31.74350668;1.862438933;2015.0;17.99466108;17.7785727;45.98329537;;0.0;64.53115191;17.7785727;45.98329537;9.718869085;31.74350668;68.59913;17.99466108;16.11432548
ALGN.OQ;align technology;Healthcare;Medical Devices;20.22656771;7660542214;9.88425951;;45.21700683;1.862438933;2016.0;20.58053019;45.98329537;131.1349215;17.7785727;0.0;64.53115191;45.98329537;102.94409707399976;9.88425951;45.21700683;68.59913;20.58053019;17.7785727
ALGN.OQ;align technology;Healthcare;Medical Devices;22.01315761;17814684052;10.25077812;0.0;74.09914792;1.862438933;2017.0;29.37352914;131.1349215;-5.742832707;45.98329537;0.0;64.53115191;96.03393899699996;-5.742832707;10.25077812;74.09914792;0.0;29.37352914;45.98329537
ALGN.OQ;align technology;Healthcare;Medical Devices;30.46779969;16751128913;10.22404408;0.0;47.00218818;1.862438933;2018.0;33.25344729;-5.742832707;33.23783604;131.1349215;0.0;64.53115191;-5.742832707;33.23783604;10.22404408;47.00218818;0.0;33.25344729;103.1823783870002
ALGN.OQ;align technology;Healthcare;Medical Devices;45.77667604;21991967800;10.34226409;0.0;51.17079978;1.862438933;2019.0;34.07201065;33.23783604;91.50659405;-5.742832707;0.0;64.53115191;33.23783604;91.50659405;10.34226409;51.17079978;0.0;34.07201065;-5.742832707
ALGN.OQ;align technology;Healthcare;Medical Devices;48.92644293;42136072477;10.62465405;0.0;80.78465639;1.862438933;2020.0;77.54911863;91.50659405;22.97990194;33.23783604;0.0;64.53115191;91.50659405;22.97990194;10.62465405;80.78465639;0.0;77.54911863;33.23783604
ALGN.OQ;align technology;Healthcare;Medical Devices;47.70959897;51820659885;10.71450294;0.0;74.4728832;1.862438933;2021.0;22.51910173;22.97990194;-67.90833561;91.50659405;0.0;64.53115191;22.97990194;-41.430845604;10.71450294;74.4728832;0.0;22.51910173;91.50659405
NTRS.OQ;northern trust;Financial Services;Asset Management;55.06382608;16668671715;10.22190099;93.03116;19.77338369;1.27854789;2015.0;11.41789496;9.073023867;26.08619399;;0.0;64.53115191;9.073023867;26.08619399;10.22190099;19.77338369;93.03116;11.41789496;13.64349087
NTRS.OQ;northern trust;Financial Services;Asset Management;56.76292133;20163689811;10.30457001;91.01879;21.58421601;1.27854789;2016.0;11.51239698;26.08619399;14.16561;9.073023867;0.0;64.53115191;26.08619399;14.16561;10.30457001;21.58421601;91.01879;11.51239698;9.073023867
